,Fecha,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Tipo
78,2022-01-01,1.0,2160.0,345.6,0.0,0.0,2505.6,2505.6,
79,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
80,2022-01-01,1.0,78.0,0.0,0.0,0.0,78.0,78.0,
81,2022-01-01,1.0,2771.37,443.42,0.0,0.0,3214.79,3214.79,
82,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
83,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
84,2022-01-01,1.0,1415.88,226.54,0.0,0.0,1642.42,1642.42,
85,2022-01-01,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84,
86,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,2022-01-01,1.0,-178.0,-28.48,0.0,0.0,-206.48,-206.48,
89,2022-01-01,1.0,4140.0,662.4,0.0,0.0,4802.4,4802.4,
90,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,2022-01-01,1.0,500.0,80.0,0.0,0.0,580.0,580.0,
93,2022-01-01,1.0,3390.0,542.4,0.0,0.0,3932.4,3932.4,
94,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,2022-01-01,1.0,0.01,0.0,0.0,0.0,0.01,0.01,
96,2022-01-01,1.0,84.48,13.52,0.0,0.0,98.0,98.0,
97,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,2022-01-01,1.0,1000.0,160.0,0.0,0.0,1160.0,1160.0,
100,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,2022-01-01,1.0,199.8,31.97,0.0,0.0,231.77,231.77,
102,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
103,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
105,2022-01-01,1.0,937.45,149.99,0.0,0.0,1087.44,1087.44,
106,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
107,2022-01-01,1.0,1449.2,0.0,0.0,0.0,9374.49,9374.49,
108,2022-01-01,1.0,1674.4,267.9,0.0,0.0,1942.3000000000002,1942.3,
109,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
110,2022-01-01,1.0,332.89,53.26,0.0,0.0,386.15,386.15,
111,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,2022-01-01,1.0,1806.25,289.0,0.0,0.0,2095.25,2095.25,
113,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,627.0,
114,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
115,2022-01-01,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62,
116,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
117,2022-01-01,1.0,320.0,0.0,0.0,0.0,320.0,320.0,
118,2022-01-01,1.0,4233.83,677.41,0.0,0.0,4911.24,4911.24,
119,2022-01-01,1.0,4310.35,689.66,0.0,0.0,5000.01,5000.01,
120,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
121,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
122,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
123,2022-01-01,1.0,1236.9299999999998,197.91,0.0,0.0,1434.84,1434.84,
124,2022-01-01,1.0,156.0,0.0,0.0,0.0,156.0,156.0,
125,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
126,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
127,2022-01-01,1.0,1035.83,161.09,0.0,0.0,1196.9199999999998,1196.92,
128,2022-01-01,1.0,1480.0,236.8,0.0,0.0,1716.8,1716.8,
129,2022-01-01,1.0,6137.9400000000005,982.0704000000001,0.0,0.0,7120.010400000001,348.0,
130,2022-01-01,1.0,3500.0,560.0,0.0,0.0,4060.0,4060.0,
131,2022-01-01,1.0,2663.0,426.08,0.0,0.0,3089.08,3089.08,
132,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
133,2022-01-01,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0,
134,2022-01-01,1.0,176.13,28.17,0.0,0.0,204.3,204.3,
135,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1987.0,
136,2022-01-01,1.0,896.2,0.0,0.0,0.0,896.2,896.2,
137,2022-01-01,1.0,4280.0,0.0,0.0,0.0,4280.0,4280.0,
138,2022-01-01,1.0,2295.0,367.2,0.0,0.0,2662.2,2662.2,
139,2022-01-01,1.0,7862.25,171.8,0.0,0.0,9120.21,9120.21,
140,2022-01-01,1.0,990.54,158.49,0.0,0.0,1149.03,1149.03,
141,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
142,2022-01-01,1.0,1449.2,0.0,0.0,0.0,9905.47,9905.47,
143,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
144,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
145,2022-01-01,1.0,157.76,25.24,0.0,0.0,183.0,183.0,
146,2022-01-01,1.0,157.76,25.24,0.0,0.0,183.0,183.0,
147,2022-01-01,1.0,0.01,0.0,0.0,0.0,0.01,0.01,
148,2022-01-01,1.0,193.19,30.91,0.0,0.0,224.1,224.1,
149,2022-01-01,1.0,1739.0,278.24,0.0,0.0,2017.24,2017.24,
150,2022-01-01,1.0,428.57,68.57,0.0,0.0,497.14,510.0,
151,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
152,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
153,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
154,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
155,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
157,2022-01-01,1.0,531.84,85.09,0.0,0.0,616.9300000000001,616.93,
158,2022-01-01,1.0,6700.0,0.0,0.0,0.0,6700.0,6700.0,
159,2022-01-01,1.0,3900.0,624.0,0.0,0.0,4524.0,4524.0,
160,2022-01-01,1.0,5300.0,848.0,0.0,0.0,6148.0,6148.0,
161,2022-01-01,1.0,3084.9,493.58,0.0,0.0,3578.48,3578.48,
162,2022-01-01,1.0,7208.0,171.8,0.0,0.0,8361.28,8361.28,
163,2022-01-01,1.0,4301.05,688.17,0.0,0.0,4989.22,4989.22,
164,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
165,2022-01-01,1.0,1706.9,273.1,0.0,0.0,1980.0,1980.0,
166,2022-01-01,1.0,1676.72,268.28,0.0,0.0,1945.0,1945.0,
167,2022-01-01,1.0,428.57,68.57,0.0,0.0,497.14,510.0,
168,2022-01-01,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0,
169,2022-01-01,1.0,969.83,155.17,0.0,0.0,1125.0,1125.0,
170,2022-01-01,1.0,2155.17,344.83,0.0,0.0,2500.0,2500.0,
171,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
172,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
173,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
174,2022-01-01,1.0,156.0,0.0,0.0,0.0,156.0,156.0,
175,2022-01-01,1.0,137.93,22.07,0.0,0.0,160.0,160.0,
176,2022-01-01,1.0,159.48,25.52,0.0,0.0,185.0,185.0,
177,2022-01-01,1.0,1583.62,253.38,0.0,0.0,1837.0,1837.0,
178,2022-01-01,1.0,1432.76,229.24,0.0,0.0,1662.0,1662.0,
179,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
180,2022-01-01,1.0,428.57,68.57,0.0,0.0,497.14,510.0,
181,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
182,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
183,2022-01-01,1.0,1449.2,0.0,0.0,0.0,1711.5,1782.0,
184,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
185,2022-01-01,1.0,181.03,28.97,0.0,0.0,210.0,210.0,
186,2022-01-01,1.0,1131.57,181.05,0.0,0.0,1312.62,1312.62,
187,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
188,2022-01-01,1.0,2991.43,478.77,0.0,0.0,3470.2,3470.2,
189,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
190,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
191,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
192,2022-01-01,1.0,874.04,136.0,0.0,0.0,1010.04,1010.04,
193,2022-01-01,1.0,3222.46,0.0,0.0,0.0,3222.46,3222.46,
194,2022-01-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
195,2022-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
196,2022-01-01,1.0,1449.2,401.31,0.0,0.0,1711.5,1782.0,
197,2022-01-01,1.0,1449.2,0.0,0.0,0.0,9129.62,9129.62,
198,2022-02-01,1.0,1449.2,171.8,0.0,0.0,1711.5,1782.0,
199,2022-02-01,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6,
