,FECHA,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
82,2020-01-01,1.0,2524.0,403.84,0.0,0.0,2927.84,2927.84
83,2020-01-01,1.0,85.78,13.72,0.0,0.0,99.5,99.5
84,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
85,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
86,2020-01-01,1.0,2779.5,444.72,0.0,0.0,3224.2200000000003,3224.22
87,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
88,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
89,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
90,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
91,2020-01-01,1.0,106.05,16.97,0.0,0.0,123.02,123.02
92,2020-01-01,1.0,3600.0,576.0,0.0,0.0,4176.0,4176.0
93,2020-01-01,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0
94,2020-01-01,1.0,1050.0,168.0,0.0,0.0,1218.0,1218.0
95,2020-01-01,1.0,153.6,24.58,0.0,0.0,178.18,178.18
96,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
97,2020-01-01,1.0,95.12,15.22,0.0,0.0,107.31,107.31
98,2020-01-01,1.0,303.0,48.48,0.0,0.0,351.48,351.48
99,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,979.75
100,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,358.0
101,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,3789.05
102,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,-669.0
103,2020-01-01,1.0,3001.65,444.68,0.0,0.0,3446.33,3446.33
104,2020-01-01,1.0,1162.5,48.0,0.0,0.0,1239.1,1333.0
105,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
106,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,236.5
107,2020-01-01,1.0,83.84,13.42,0.0,0.0,97.26,97.26
108,2020-01-01,1.0,450.0,72.0,0.0,0.0,522.0,522.0
109,2020-01-01,1.0,266.4,42.62,0.0,0.0,309.02,309.02
110,2020-01-01,1.0,2572.5,411.6,0.0,0.0,2984.1,2984.1
111,2020-01-01,1.0,813.31,130.13,0.0,0.0,943.4399999999999,943.44
112,2020-01-01,1.0,73.09,11.7,0.0,0.0,84.79,84.79
113,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
114,2020-01-01,1.0,495.0,79.2,0.0,0.0,574.2,574.2
115,2020-01-01,1.0,-600.0,-96.0,0.0,0.0,-696.0,-696.0
116,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
117,2020-01-01,1.0,1390.0,519.8,0.0,0.0,1390.0,1390.0
118,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
119,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
120,2020-01-01,1.0,2300.0,368.0,0.0,0.0,2668.0,2668.0
121,2020-01-01,1.0,228.23,36.52,0.0,0.0,264.75,264.75
122,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
123,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
124,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
125,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
126,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
127,2020-01-01,1.0,289.76,46.36,0.0,0.0,336.12,336.12
128,2020-01-01,1.0,1764.0,282.24,0.0,0.0,2046.24,2046.24
129,2020-01-01,1.0,5329.32,852.69,0.0,0.0,6182.01,6182.01
130,2020-01-01,1.0,336.9,62.09,0.0,0.0,398.99,398.99
131,2020-01-01,1.0,267.23,52.06,0.0,0.0,319.29,319.29
132,2020-01-01,1.0,140.0,0.0,0.0,0.0,140.0,140.0
133,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
134,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
135,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
136,2020-01-01,1.0,1162.5,1245.6,0.0,0.0,1239.1,1333.0
137,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
138,2020-01-01,1.0,1204.17,192.67,0.0,0.0,1396.8400000000001,1396.84
139,2020-01-01,1.0,250.0,519.8,0.0,0.0,250.0,250.0
140,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
141,2020-01-01,1.0,1124.82,175.41,0.0,0.0,1300.23,1300.23
142,2020-01-01,1.0,778.61,121.42,0.0,0.0,900.03,900.03
143,2020-01-01,1.0,1223.2,195.71,0.0,0.0,1418.91,1418.91
144,2020-01-01,1.0,1162.5,48.0,0.0,0.0,1239.1,1333.0
145,2020-01-01,1.0,1320.0,211.2,0.0,0.0,1531.2,1531.2
146,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
147,2020-01-01,1.0,1162.5,1200.0,0.0,0.0,1239.1,1333.0
148,2020-01-01,1.0,3100.0,496.0,0.0,0.0,3596.0,3596.0
149,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
150,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
151,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
152,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
153,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
154,2020-01-01,1.0,314.66,50.34,0.0,0.0,365.0,365.0
155,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
156,2020-01-01,1.0,344.84,55.16,0.0,0.0,400.0,400.0
157,2020-01-01,1.0,730.28,116.84,0.0,0.0,847.12,876.33
158,2020-01-01,1.0,1162.5,519.8,0.0,0.0,1239.1,1333.0
159,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
160,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
161,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,539.0
162,2020-01-01,1.0,144.83,23.17,0.0,0.0,168.0,168.0
163,2020-01-01,1.0,519.11,80.89,0.0,0.0,600.0,600.0
164,2020-01-01,1.0,432.6,67.4,0.0,0.0,500.0,500.0
165,2020-01-01,1.0,86.56,13.44,0.0,0.0,100.0,100.0
166,2020-01-01,1.0,86.56,13.44,0.0,0.0,100.0,100.0
167,2020-01-01,1.0,239.4,38.3,0.0,0.0,277.7,277.7
168,2020-01-01,1.0,3268.0,522.88,0.0,0.0,3790.88,3790.88
169,2020-01-01,1.0,3648.0,583.68,0.0,0.0,4231.68,4231.68
170,2020-01-01,1.0,2624.56,419.93,0.0,0.0,3044.49,3044.49
171,2020-01-01,1.0,1162.5,519.8,0.0,0.0,1239.1,1333.0
