,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
99,1.0,1172.47,187.59,0.0,0.0,1360.06,1360.06
100,1.0,11850.0,1896.0,0.0,0.0,13746.0,13746.0
101,1.0,3528.0,564.48,0.0,0.0,4092.48,4092.48
102,1.0,3870.0,619.2,0.0,0.0,4489.2,4489.2
103,1.0,218.72,42.6,0.0,0.0,261.32,261.32
104,1.0,6600.0,1056.0,0.0,0.0,7656.0,7656.0
105,1.0,1165.5,186.48,0.0,0.0,1351.98,1351.98
106,1.0,13320.84,2131.34,0.0,0.0,15452.18,15452.18
107,1.0,23931.1,3828.98,0.0,1435.87,26324.21,26324.21
108,1.0,16945.12,2711.22,0.0,1016.71,18639.63,18639.63
109,1.0,360.0,57.6,0.0,0.0,417.6,417.6
110,1.0,7500.0,1200.0,0.0,0.0,8700.0,8700.0
111,1.0,3888.0,622.08,0.0,0.0,4510.08,4510.08
112,1.0,1275.0,204.0,0.0,0.0,1479.0,1479.0
113,1.0,2942.87,470.86,0.0,10.68,3403.05,3403.05
114,1.0,68.04,10.88,0.0,0.0,78.92,78.92
115,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1.0,17836.45,2853.83,0.0,1070.19,19620.09,19620.09
117,1.0,39500.0,6320.0,0.0,0.0,45820.0,45820.0
118,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0
120,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1.0,687.0,109.92,0.0,0.0,796.92,796.92
122,1.0,5550.0,888.0,0.0,0.0,6438.0,6438.0
123,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1.0,28000.0,4480.0,2800.0,2986.68,26693.32,26693.32
125,1.0,29.05,4.65,0.0,0.0,33.7,33.7
126,1.0,1594.83,255.17,0.0,0.0,1850.0,1850.0
127,1.0,74.0,0.0,0.0,0.0,74.0,74.0
128,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0
129,1.0,6120.0,979.2,0.0,0.0,7099.2,7099.2
130,1.0,170.17,27.23,0.0,0.0,197.39999999999998,197.4
131,1.0,3800.0,608.0,0.0,0.0,4408.0,4408.0
132,1.0,408.5,65.36,0.0,0.0,473.86,473.86
133,1.0,1780.0,284.8,0.0,0.0,2064.8,2064.8
134,1.0,5148.3,823.72,0.0,0.0,5972.02,5972.02
135,1.0,298.32,47.73,0.0,0.0,346.05,346.05
136,1.0,500.0,80.0,0.0,0.0,580.0,580.0
137,1.0,12398.0,1983.68,0.0,0.0,14381.68,14381.68
138,1.0,4.14,0.66,0.0,0.0,4.8,4.8
139,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1.0,7587.75,1214.04,0.0,0.0,8801.79,8801.78
141,1.0,1971.5,315.44,0.0,0.0,2286.94,2286.94
142,1.0,1223.1,195.7,0.0,0.0,1418.8,1418.8
143,1.0,100.0,16.0,0.0,0.0,116.0,116.0
144,1.0,74.57,11.93,0.0,0.0,86.5,86.5
145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,1.0,870.0,139.2,0.0,0.0,1009.2,1009.2
147,1.0,432.84,67.16,0.0,0.0,500.0,500.0
148,1.0,15960.0,2553.6,0.0,0.0,18513.6,18513.6
149,1.0,319.38,51.1,0.0,0.0,370.48,370.48
150,1.0,240.0,38.4,0.0,0.0,278.4,278.4
151,1.0,512.0,81.92,0.0,0.0,593.92,593.92
152,1.0,117.83,18.86,0.0,3.24,133.45,133.45
153,1.0,120.0,19.2,0.0,0.0,139.2,139.2
154,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1.0,15500.0,2480.0,0.0,0.0,17980.0,17980.0
156,1.0,5521.6,883.46,0.0,0.0,6405.06,6405.06
157,1.0,215.52,34.48,0.0,0.0,250.0,250.0
158,1.0,1724.79,275.97,0.0,0.0,2000.76,2000.76
159,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1.0,1825.0,292.0,0.0,0.0,2117.0,2117.0
161,1.0,412.16,65.95,0.0,0.0,478.11,478.11
162,1.0,324.0,51.84,0.0,0.0,375.84000000000003,375.84
163,1.0,1419.69,227.14,0.0,0.0,1646.83,1646.83
164,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1.0,1205.0,192.8,0.0,0.0,1397.8,1397.8
167,1.0,9057.44,1449.19,0.0,543.45,9963.18,9963.18
168,1.0,493.92,79.03,0.0,0.0,572.95,572.95
169,1.0,15248.91,2439.83,0.0,914.93,16773.809999999998,16773.81
170,1.0,4125.7,660.11,0.0,0.0,4785.8099999999995,4785.81
171,1.0,2870.99,459.36,0.0,42.89,3287.46,3287.46
172,1.0,173.11,26.89,0.0,0.0,200.0,200.0
173,1.0,64.59,10.33,0.0,0.0,74.92,74.92
174,1.0,22371.63,3579.46,0.0,1342.3,24608.79,24608.79
175,1.0,1247.8,199.65,0.0,0.0,1447.45,1447.45
176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1.0,1037.0,0.0,0.0,0.0,1037.0,1037.0
179,1.0,4002.0,640.32,0.0,0.0,4642.32,4642.32
180,1.0,217.75,34.84,0.0,0.0,252.59,252.59
181,1.0,97.52,15.61,0.0,0.0,113.13,113.13
182,1.0,3416.04,546.57,0.0,0.0,3962.61,3962.61
183,1.0,1690.0,270.4,0.0,0.0,1960.4,1960.4
184,1.0,7758.62,1241.38,0.0,0.0,9000.0,9000.0
185,1.0,336.9,62.09,0.0,0.0,398.99,398.99
186,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.0,16548.5,2647.76,0.0,0.0,19196.260000000002,19196.26
190,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,1.0,1678.75,268.6,0.0,0.0,1947.35,1947.35
194,1.0,851.19,136.19,0.0,0.0,987.3800000000001,987.38
195,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1.0,45027.36,7204.38,0.0,0.0,52231.74,52231.74
197,1.0,8752.0,1400.32,0.0,0.0,10152.32,10152.32
198,1.0,14028.5,2244.56,0.0,0.0,16273.06,16273.06
199,1.0,11548.35,1847.74,0.0,0.0,13396.09,13396.09
200,1.0,16579.62,0.0,0.0,0.0,16579.62,16579.62
201,1.0,6834.0,1093.44,0.0,0.0,7927.4400000000005,7927.44
202,1.0,66.6,10.65,0.0,0.0,77.25,77.25
203,1.0,2600.0,416.0,0.0,0.0,3016.0,3016.0
204,1.0,1266.56,202.65,0.0,0.0,1469.21,1469.21
205,1.0,1955.0,312.8,0.0,0.0,2267.8,2267.8
206,1.0,1342.0,214.72,0.0,0.0,1556.72,1556.72
207,1.0,4580.1,360.0,0.0,0.0,4940.1,4940.1
208,1.0,765.0,122.4,0.0,0.0,887.4,887.4
209,1.0,4530.44,724.87,0.0,0.0,5255.3099999999995,5255.31
210,1.0,5019.48,803.11,0.0,0.0,5822.589999999999,5822.59
211,1.0,1200.0,192.0,0.0,0.0,1392.0,1392.0
212,1.0,111.0,0.0,0.0,0.0,111.0,111.0
213,1.0,1980.0,316.8,0.0,0.0,2296.8,2296.8
214,1.0,432.78,67.22,0.0,0.0,500.0,500.0
215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,1.0,5490.0,878.4,0.0,0.0,6368.4,6368.4
217,1.0,767.28,122.76,0.0,0.0,890.04,890.04
218,1.0,1825.0,292.0,0.0,0.0,2117.0,2117.0
219,1.0,227.13,36.34,0.0,0.0,263.47,263.47
220,1.0,18.97,3.03,0.0,0.0,22.0,22.0
221,1.0,460.0,73.6,0.0,0.0,533.6,533.6
222,1.0,1740.8,286.71,0.0,0.0,2027.51,2027.51
223,1.0,2042.5,326.8,0.0,0.0,2369.3,2369.3
224,1.0,4453.1,712.5,0.0,0.0,5165.6,5165.6
225,1.0,1162.37,185.98,0.0,0.0,1348.35,1348.35
226,1.0,6532.95,1045.27,0.0,0.0,7578.219999999999,7578.22
227,1.0,6660.0,1065.6,666.0,710.4,6349.200000000001,6349.2
228,1.0,446.55,71.45,0.0,0.0,518.0,518.0
229,1.0,49.77,7.96,0.0,0.0,57.730000000000004,57.73
230,1.0,21000.0,3360.0,0.0,0.0,24360.0,24360.0
231,1.0,2100.0,336.0,0.0,0.0,2436.0,2436.0
232,1.0,3446.99,551.52,0.0,0.0,3998.5099999999998,3998.51
233,1.0,2426.58,388.25,0.0,0.0,2814.83,2814.83
234,1.0,9570.31,1531.25,0.0,574.22,10527.34,10527.34
235,1.0,244.66,39.15,0.0,0.0,283.81,283.81
236,1.0,17930.52,2868.88,0.0,1075.83,19723.57,19723.57
237,1.0,25.0,4.0,0.0,0.0,29.0,29.0
238,1.0,86.53,13.47,0.0,0.0,100.0,100.0
239,1.0,0.0,0.0,0.0,0.0,0.0,0.0
240,1.0,3897.6,623.61,0.0,0.0,4521.21,4521.21
241,1.0,291.87,46.7,0.0,0.0,338.57,338.57
242,1.0,4080.48,22.07,0.0,0.0,4102.55,4102.55
243,1.0,175.88,28.14,0.0,0.0,204.01999999999998,204.02
244,1.0,0.0,0.0,0.0,0.0,0.0,0.0
245,1.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1.0,23459.67,3753.55,0.0,1407.58,25805.64,25805.64
247,1.0,37500.0,6000.0,0.0,0.0,43500.0,43500.0
248,1.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1.0,336.21,53.79,0.0,0.0,390.0,390.0
251,1.0,1500.0,240.0,0.0,0.0,1740.0,1740.0
252,1.0,1500.0,240.0,0.0,0.0,1740.0,1740.0
253,1.0,1500.0,240.0,0.0,0.0,1740.0,1740.0
254,1.0,19539.6,86.34,0.0,0.0,19625.94,19625.94
255,1.0,0.0,0.0,0.0,0.0,0.0,0.0
256,1.0,15000.0,2400.0,0.0,0.0,17400.0,17400.0
257,1.0,2792.14,446.76,0.0,0.0,3238.8999999999996,3238.9
258,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,1.0,30000.0,4800.0,3000.0,3200.0,28600.0,28600.0
260,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0
261,1.0,3180.0,508.8,0.0,0.0,3688.8,3688.8
262,1.0,304.6,48.74,0.0,0.0,353.34000000000003,353.34
263,1.0,801.72,128.28,0.0,0.0,930.0,930.0
264,1.0,111.0,0.0,0.0,0.0,111.0,111.0
265,1.0,490.0,78.4,0.0,0.0,568.4,568.4
266,1.0,270.0,43.2,0.0,0.0,313.2,313.2
267,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268,1.0,3896.56,623.45,0.0,0.0,4520.01,4520.01
269,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
270,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
271,1.0,20209.0,3233.44,0.0,0.0,23442.44,23442.44
272,1.0,4950.0,792.0,0.0,0.0,5742.0,5742.0
273,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
275,1.0,3044.98,487.2,0.0,0.0,3532.18,3532.18
276,1.0,0.0,0.0,0.0,0.0,0.0,0.0
277,1.0,13924.27,2227.88,0.0,0.0,16152.150000000001,16152.15
278,1.0,2098.14,335.7,0.0,0.0,2433.8399999999997,2433.84
279,1.0,-374.0,-59.84,0.0,0.0,-433.84000000000003,-433.84
280,1.0,5000.0,800.0,0.0,0.0,5800.0,5800.0
281,1.0,900.0,144.0,0.0,0.0,1044.0,1044.0
282,1.0,914.0,146.24,0.0,0.0,1060.24,1060.24
283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
284,1.0,227.41,36.39,0.0,0.0,263.8,263.8
285,1.0,362.07,57.93,0.0,0.0,420.0,420.0
286,1.0,0.0,0.0,0.0,0.0,0.0,0.0
287,1.0,7957.95,1273.27,0.0,0.0,9231.22,9231.22
288,1.0,2715.5,434.48,0.0,0.0,3149.98,3149.98
289,1.0,283.45,45.35,0.0,8.97,319.83,319.83
290,1.0,0.0,0.0,0.0,0.0,0.0,-599.0
291,1.0,0.0,0.0,0.0,0.0,0.0,0.0
292,1.0,0.0,0.0,0.0,0.0,0.0,0.0
293,1.0,0.0,0.0,0.0,0.0,0.0,0.0
294,1.0,4567.2,730.75,0.0,0.0,5297.95,5297.95
295,1.0,0.0,0.0,0.0,0.0,0.0,0.0
296,1.0,0.0,0.0,0.0,0.0,0.0,0.0
297,1.0,0.0,0.0,0.0,0.0,0.0,0.0
298,20.2248,0.0,0.0,0.0,0.0,0.0,0.0
299,1.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1.0,800.0,128.0,0.0,0.0,928.0,928.0
301,1.0,1305.0,208.8,0.0,0.0,1513.8,1513.8
302,1.0,8825.0,1412.0,0.0,0.0,10237.0,10237.0
303,1.0,490.2,78.43,0.0,0.0,568.63,568.63
304,1.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1.0,360.0,57.6,0.0,0.0,417.6,417.6
